wsi_di_CVP_SYS
wsi     di
0.0 0.0
500.0 4308.3740234375
1000.0 4308.3740234375
1500.0 4308.3740234375
2000.0 4308.3740234375
2500.0 4308.3740234375
3000.0 4308.3740234375
3500.0 4308.3740234375
4000.0 4308.3740234375
4500.0 4308.3740234375
5000.0 4308.3740234375
5500.0 4308.3740234375
6000.0 4308.3740234375
6500.0 4619.560188927825
7000.0 4952.739377043024
7500.0 5614.860019987063
8000.0 6744.969335609709
8500.0 7500.854823131789
9000.0 8051.207901398527
9500.0 8750.258571295
10000.0 9774.26757289717
10500.0 10563.256771910214
11000.0 11323.53674190153
11500.0 11649.19270510711
12000.0 11858.734689312972
12500.0 11934.749798617158
13000.0 11934.749798617158
13500.0 12042.878174559544
14000.0 12042.878174559544
14500.0 12042.878174559544
15000.0 12042.878174559544
15500.0 12042.878174559544
16000.0 12042.878174559544
16500.0 12042.878174559544
17000.0 12042.878174559544
17500.0 12042.878174559544
18000.0 12042.878174559544
18500.0 12042.878174559544
19000.0 12042.878174559544
19500.0 12042.878174559544
20000.0 12042.878174559544
