wsi_di_CVP_SYS
wsi     di
0.0 0.0
500.0 4385.0625
1000.0 4385.0625
1500.0 4385.0625
2000.0 4385.0625
2500.0 4385.0625
3000.0 4385.0625
3500.0 4385.0625
4000.0 4385.0625
4500.0 4385.0625
5000.0 4385.0625
5500.0 4385.0625
6000.0 4385.0625
6500.0 4540.330974106471
7000.0 5500.913543252834
7500.0 5712.1544118794345
8000.0 6324.7557604300055
8500.0 7557.808600027238
9000.0 8135.4282989224685
9500.0 8838.21067600763
10000.0 9847.824063909336
10500.0 10581.0107414038
11000.0 11368.835587056927
11500.0 11677.281673727124
12000.0 11901.315058004457
12500.0 11969.848838767382
13000.0 11969.848838767382
13500.0 12097.427959994884
14000.0 12117.470017941652
14500.0 12117.470017941652
15000.0 12117.470017941652
15500.0 12117.470017941652
16000.0 12117.470017941652
16500.0 12117.470017941652
17000.0 12117.470017941652
17500.0 12117.470017941652
18000.0 12117.470017941652
18500.0 12117.470017941652
19000.0 12117.470017941652
19500.0 12117.470017941652
20000.0 12117.470017941652
